,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
0,Candace Kane's Candy Factory,DS,2008.0,Action,Destineer,0.04,0.0,0.0,0.0
1,The Munchables,Wii,2009.0,Action,Namco Bandai Games,0.17,0.0,0.0,0.01
2,Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010.0,Adventure,Alchemist,0.0,0.0,0.02,0.0
3,Deal or No Deal: Special Edition,DS,2010.0,Misc,Zoo Games,0.04,0.0,0.0,0.0
4,Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010.0,Platform,D3Publisher,0.12,0.09,0.0,0.04
5,Power Pro Kun Pocket 8,DS,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0
6,JASF: Jane's Advanced Strike Fighters,PC,2011.0,Simulation,Deep Silver,0.02,0.01,0.0,0.0
7,Samurai Warriors: State of War,PSP,2005.0,Action,Tecmo Koei,0.07,0.0,0.11,0.01
8,Imabikisou,PS3,2007.0,Adventure,Sega,0.0,0.0,0.04,0.0
9,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011.0,Action,THQ,0.04,0.03,0.0,0.01
10,Ford Racing,PS,2001.0,Racing,Empire Interactive,0.48,0.33,0.0,0.06
11,Harvest Moon: More Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,0.14,0.05,0.0,0.0
12,Mount & Blade,PC,2008.0,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.0
13,The Professor's Brain Trainer: Logic,DS,2005.0,Puzzle,505 Games,0.02,0.0,0.0,0.0
14,Zoids Dash,DS,2006.0,Role-Playing,Tomy Corporation,0.0,0.0,0.02,0.0
15,Mini Ninjas,PS3,2009.0,Action,Eidos Interactive,0.14,0.16,0.0,0.06
16,Rise of Nations,PC,2003.0,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.01
17,Hajime no Ippo: The Fighting! (2014),PS3,2014.0,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0
18,Grand Kingdom,PS4,2015.0,Role-Playing,Nippon Ichi Software,0.02,0.0,0.03,0.0
19,Tropico Reloaded,PC,2009.0,Strategy,Kalypso Media,0.0,0.02,0.0,0.0
20,Ty the Tasmanian Tiger,PS2,2002.0,Platform,Electronic Arts,0.57,0.45,0.0,0.15
21,Ghost in the Shell,PS,1997.0,Simulation,Sony Computer Entertainment,0.06,0.04,0.0,0.01
22,Cabela's Dangerous Hunts 2,XB,2005.0,Sports,Activision,0.08,0.02,0.0,0.0
23,Don Bradman Cricket 14,X360,2014.0,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0
24,Injustice: Gods Among Us,PS3,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23
25,Dr. Muto,GC,2002.0,Platform,Midway Games,0.02,0.01,0.0,0.0
26,Starwinder: The Ultimate Space Race,PS,1996.0,Racing,Mindscape,0.03,0.02,0.0,0.0
27,World of Tanks,PC,2011.0,Shooter,Wargaming.net,0.0,0.23,0.0,0.06
28,Famicom Mini: Makaimura,GBA,2004.0,Platform,Capcom,0.0,0.0,0.08,0.0
29,McGrath Vs. Pastrana Freestyle Motocross,PS,2000.0,Racing,Acclaim Entertainment,0.14,0.1,0.0,0.02
30,Kids Learn Music A+ Edition,DS,2011.0,Misc,DTP Entertainment,0.05,0.0,0.0,0.0
31,Rock Band,X360,,Misc,Electronic Arts,1.93,0.34,0.0,0.21
32,Project Sylpheed: Arc of Deception,X360,2006.0,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01
33,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015.0,Misc,Nintendo,0.0,0.0,0.01,0.0
34,Mega Man Anniversary Collection,PS2,2004.0,Platform,Capcom,0.29,0.22,0.0,0.08
35,G-Force,Wii,2009.0,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05
36,Advance Wars: Dual Strike,DS,2005.0,Strategy,Nintendo,0.3,0.03,0.04,0.03
37,Beamrider,2600,1984.0,Racing,Activision,0.26,0.01,0.0,0.0
38,Ninja Reflex,Wii,2008.0,Action,Electronic Arts,0.11,0.01,0.0,0.01
39,FIFA World Cup Germany 2006,XB,2006.0,Sports,Electronic Arts,0.18,0.05,0.0,0.01
40,Vagrant Story,PS,2000.0,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06
41,Knights of Honor,PC,2004.0,Strategy,Sunflowers,0.0,0.02,0.0,0.01
42,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007.0,Adventure,Capcom,0.33,0.05,0.25,0.04
43,Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008.0,Action,Konami Digital Entertainment,0.0,0.0,0.05,0.0
44,Crysis 3,X360,2013.0,Shooter,Electronic Arts,0.51,0.33,0.01,0.08
45,Resident Evil: Revelations 2,PS3,2015.0,Action,Capcom,0.06,0.08,0.16,0.03
46,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998.0,Sports,Sega,0.0,0.0,0.12,0.0
47,Sega Soccer Slam,PS2,2002.0,Sports,Sega,0.06,0.05,0.0,0.02
48,Hellboy: The Science of Evil,PS3,2008.0,Action,Konami Digital Entertainment,0.13,0.02,0.0,0.02
49,Dreamworks Madagascar Kartz,X360,2009.0,Racing,Activision,0.14,0.09,0.0,0.02
50,Ape Escape: On the Loose,PSP,2005.0,Adventure,Sony Computer Entertainment,0.52,0.01,0.12,0.05
51,Chaotic: Shadow Warriors,Wii,2009.0,Action,Activision,0.18,0.0,0.0,0.01
52,Mega Man Xtreme 2,GB,2001.0,Platform,Capcom,0.0,0.0,0.07,0.0
53,IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.34,0.26,0.0,0.1
54,Rockin' Pretty,DS,2009.0,Misc,Arc System Works,0.05,0.0,0.0,0.0
55,SpongeBob's Boating Bash,Wii,2010.0,Misc,THQ,0.25,0.07,0.0,0.03
56,Sébastien Loeb Rally Evo,PS4,2016.0,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01
57,Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010.0,Misc,Kamui,0.0,0.0,0.03,0.0
58,Tony Hawk: Shred,Wii,2010.0,Sports,Activision,0.41,0.11,0.0,0.04
59,Bomberman,NES,1985.0,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0
60,The Hustle: Detroit Streets,PS2,2006.0,Sports,Activision,0.02,0.02,0.0,0.01
61,Unreal Tournament III,X360,2008.0,Shooter,Midway Games,0.25,0.17,0.01,0.05
62,NieR,X360,2010.0,Role-Playing,Square Enix,0.13,0.1,0.04,0.02
63,Rango: The Video Game,Wii,2011.0,Action,Electronic Arts,0.08,0.04,0.0,0.01
64,SD Gundam Force,GBA,2004.0,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0
65,Virtua Fighter 3tb,DC,1998.0,Fighting,Sega,0.0,0.0,0.37,0.0
66,Kirby: Mass Attack,DS,2011.0,Platform,Nintendo,0.52,0.06,0.41,0.05
67,Exhibition Volume 5,XB,2004.0,Misc,Microsoft Game Studios,0.04,0.01,0.0,0.0
68,Sherlock Holmes: Crimes & Punishments,PS4,2014.0,Adventure,Focus Home Interactive,0.08,0.14,0.0,0.05
69,NBA 2K11,PC,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01
70,Command & Conquer,N64,1999.0,Strategy,Nintendo,0.22,0.05,0.0,0.0
71,Code Lyoko,DS,2007.0,Action,Game Factory,0.03,0.01,0.0,0.0
72,Payday 2,XOne,2015.0,Shooter,505 Games,0.08,0.07,0.0,0.01
73,Teenage Mutant Ninja Turtles,XB,2003.0,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01
74,Age of Empires III: Complete Collection,PC,2009.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03
75,Deadliest Catch: Sea of Chaos,PS3,2010.0,Sports,Crave Entertainment,0.08,0.0,0.0,0.01
76,Wrecking Crew,NES,1985.0,Platform,Nintendo,0.0,0.0,0.51,0.0
77,Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,0.35,0.24,0.0,0.04
78,Sudokuro,DS,2007.0,Puzzle,Crave Entertainment,0.1,0.0,0.0,0.01
79,Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,2008.0,Racing,Takara Tomy,0.0,0.0,0.01,0.0
80,Dynasty Warriors Advance,GBA,2005.0,Action,Nintendo,0.08,0.03,0.0,0.0
81,Treasures of the Deep,PS,1997.0,Action,Namco Bandai Games,0.1,0.07,0.0,0.01
82,Mobile Suit Gundam: Perfect One Year War,PS,1997.0,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01
83,Billy Hatcher and the Giant Egg,GC,2003.0,Platform,Sega,0.19,0.05,0.0,0.01
84,Tom and Jerry in Fists of Furry,N64,2000.0,Fighting,Ubisoft,0.13,0.03,0.0,0.0
85,Resident Evil: Dead Aim,PS2,2003.0,Action,Capcom,0.17,0.13,0.0,0.04
86,Seiken Densetsu 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0
87,Spy vs Spy,XB,2005.0,Action,Global Star,0.08,0.02,0.0,0.0
88,Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,Electronic Arts,0.13,0.21,0.0,0.08
89,Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,0.22,0.15,0.0,0.03
90,Tom Clancy's Ghost Recon: Predator,PSP,2010.0,Shooter,Ubisoft,0.07,0.02,0.0,0.02
91,Death Jr.,PSP,2005.0,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01
92,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1
93,Pac-Man and the Ghostly Adventures 2,PS3,2014.0,Adventure,Namco Bandai Games,0.05,0.04,0.0,0.02
94,Need for Speed Underground,PC,2003.0,Racing,Electronic Arts,0.0,0.04,0.0,0.01
95,Robotron 64,N64,1998.0,Shooter,GT Interactive,0.07,0.02,0.0,0.0
96,Gummy Bears Magical Medallion,Wii,2011.0,Platform,Storm City Games,0.02,0.0,0.0,0.0
97,Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,0.59,0.16,0.0,0.01
98,Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.36,0.21,0.01,0.06
99,Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0
100,Samurai Warriors Chronicles 3,3DS,2014.0,Action,Tecmo Koei,0.0,0.0,0.08,0.0
101,Where's Waldo? The Fantastic Journey,Wii,2009.0,Adventure,Ubisoft,0.18,0.0,0.0,0.01
102,Nobunaga no Yabou: Ranseiki,PS2,2002.0,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0
103,The Guy Game,XB,2004.0,Misc,Gathering of Developers,0.05,0.02,0.0,0.0
104,Metroid Prime Pinball,DS,2005.0,Misc,Nintendo,0.21,0.0,0.02,0.02
105,NCAA Football 08,XB,2007.0,Sports,Electronic Arts,0.06,0.02,0.0,0.0
106,NHL 06,XB,2005.0,Sports,Electronic Arts,0.19,0.05,0.0,0.01
107,Madden NFL 2001,PS2,2000.0,Sports,Electronic Arts,1.19,0.07,0.05,0.2
108,Yakuza Kiwami,PS3,2016.0,Adventure,Sega,0.0,0.0,0.12,0.0
109,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009.0,Racing,Konami Digital Entertainment,0.0,0.0,0.02,0.0
110,Ore wa Shoujo Mangaka,PSP,2012.0,Action,Giza10,0.0,0.0,0.02,0.0
111,Rocky Balboa,PSP,2007.0,Sports,Ubisoft,0.01,0.09,0.0,0.01
112,Victory Spike,PS,1996.0,Sports,Imagineer,0.0,0.0,0.01,0.0
113,Bubble Bobble Revolution,DS,2005.0,Puzzle,Atari,0.04,0.0,0.0,0.0
114,State of Emergency 2,PS2,2006.0,Shooter,SouthPeak Games,0.04,0.03,0.0,0.01
115,Lords of the Fallen,PC,2014.0,Role-Playing,Square Enix,0.0,0.03,0.0,0.0
116,Mazes of Fate DS,DS,2008.0,Role-Playing,Graffiti,0.04,0.0,0.0,0.0
117,Jikkyou Powerful Pro Baseball 2016,PS4,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0
118,King Arthur,GC,2004.0,Action,Konami Digital Entertainment,0.03,0.01,0.0,0.0
119,Magna Carta Portable,PSP,2006.0,Role-Playing,Banpresto,0.0,0.0,0.03,0.0
120,Lise no Atelier: Ordre no Renkinjutsushi,DS,2007.0,Role-Playing,Gust,0.0,0.0,0.04,0.0
121,Armored Core: Master of Arena,PS,1999.0,Simulation,From Software,0.07,0.05,0.13,0.02
122,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9
123,Shrek Super Party,GC,2003.0,Misc,TDK Mediactive,0.04,0.01,0.0,0.0
124,Steins;Gate: Hiyoku Renri no Darling,PS3,2012.0,Adventure,5pb,0.0,0.0,0.02,0.0
125,Crime Scene,DS,2009.0,Adventure,Nobilis,0.0,0.02,0.0,0.0
126,Mortal Kombat,PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0.0,0.32
127,Circuit Breakers,PS,1998.0,Racing,Mindscape,0.04,0.03,0.0,0.0
128,Rozen Maiden: Gebetgarten,PS2,2007.0,Fighting,Taito,0.0,0.0,0.01,0.0
129,Sea Park Tycoon,DS,2010.0,Simulation,Foreign Media Games,0.02,0.01,0.0,0.0
130,Hot Wheels: Battle Force 5,DS,2009.0,Racing,Activision,0.13,0.02,0.0,0.01
131,Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03
132,Rabbids Invasion: The Interactive TV Show,PS4,2014.0,Misc,Ubisoft,0.0,0.01,0.0,0.0
133,Cabela's Big Game Hunter: Pro Hunts,WiiU,2014.0,Shooter,Activision,0.02,0.0,0.0,0.0
134,Forza Horizon 2,X360,2014.0,Racing,Microsoft Game Studios,0.35,0.43,0.0,0.07
135,Hitman: HD Trilogy,PS3,2013.0,Action,Square Enix,0.07,0.1,0.0,0.04
136,Super Robot Taisen XO,X360,2006.0,Strategy,Banpresto,0.0,0.0,0.01,0.0
137,Call of Juarez: The Cartel,PS3,2011.0,Shooter,Ubisoft,0.12,0.13,0.0,0.05
138,Warriors Orochi 3,PS4,2014.0,Action,Tecmo Koei,0.04,0.05,0.04,0.02
139,The Incredibles: Rise of the Underminer,PS2,2005.0,Action,THQ,0.18,0.14,0.0,0.05
140,Looney Tunes: Galactic Sports,PSV,2015.0,Action,Sony Computer Entertainment,0.0,0.06,0.0,0.02
141,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014.0,Action,Nippon Columbia,0.0,0.0,0.17,0.0
142,FIFA Manager 12,PC,2011.0,Sports,Electronic Arts,0.0,0.03,0.0,0.01
143,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003.0,Action,Vivendi Games,0.09,0.07,0.0,0.02
144,UEFA Euro 2008 Austria-Switzerland,PSP,2008.0,Sports,Electronic Arts,0.06,0.13,0.0,0.06
145,TOCA Race Driver 3,PC,2006.0,Racing,Codemasters,0.0,0.02,0.0,0.0
146,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1
